"when","action","source","dest","size_b","dry_run"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_messages_filtered.csv","H:\AxioPoC\_archive\2025-10-01_09-43\afd_messages_filtered.csv","351218466","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\axis_afd.npy","H:\AxioPoC\_archive\2025-10-01_09-43\axis_afd.npy","1664","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\axis_afd_early30.npy","H:\AxioPoC\_archive\2025-10-01_09-43\axis_afd_early30.npy","1664","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\axis_afd_early50.npy","H:\AxioPoC\_archive\2025-10-01_09-43\axis_afd_early50.npy","1664","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_Da12telos_PARTIAL.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_Da12telos_PARTIAL.pkl","546","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_TelosPARTIAL_base4.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_TelosPARTIAL_base4.pkl","546","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_TelosPARTIAL_intra.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_TelosPARTIAL_intra.pkl","546","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_TelosPARTIAL_min3.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_TelosPARTIAL_min3.pkl","546","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_TelosPARTIAL_noDelta.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_TelosPARTIAL_noDelta.pkl","458","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_TelosPARTIAL_noKlast.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_TelosPARTIAL_noKlast.pkl","458","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_TelosPARTIAL_noL002.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_TelosPARTIAL_noL002.pkl","442","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_afd_TelosPARTIAL_noL005.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_afd_TelosPARTIAL_noL005.pkl","442","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_cmv_Da12telos_from_AFDpartial.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_cmv_Da12telos_from_AFDpartial.pkl","546","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_cmv_TelosPARTIAL_base4.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_cmv_TelosPARTIAL_base4.pkl","546","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_cmv_TelosPARTIAL_noDelta.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_cmv_TelosPARTIAL_noDelta.pkl","458","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_cmv_TelosPARTIAL_noKlast.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_cmv_TelosPARTIAL_noKlast.pkl","458","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_cmv_TelosPARTIAL_noL002.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_cmv_TelosPARTIAL_noL002.pkl","442","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\signature_cmv_TelosPARTIAL_noL005.pkl","H:\AxioPoC\_archive\2025-10-01_09-43\signature_cmv_TelosPARTIAL_noL005.pkl","442","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\features_afd_telos_temporal_PARTIAL.csv","H:\AxioPoC\_archive\2025-10-01_09-43\features_afd_telos_temporal_PARTIAL.csv","11911528","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\features_afd_telos_temporal_PARTIAL_min3.csv","H:\AxioPoC\_archive\2025-10-01_09-43\features_afd_telos_temporal_PARTIAL_min3.csv","10206920","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\features_cmv_telos_temporal_from_AFDpartial.csv","H:\AxioPoC\_archive\2025-10-01_09-43\features_cmv_telos_temporal_from_AFDpartial.csv","5050141","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\permSAFE_afd2cmv_Da12telos_PARTIAL_1000.json","H:\AxioPoC\_archive\2025-10-01_09-43\permSAFE_afd2cmv_Da12telos_PARTIAL_1000.json","15167","True"
"2025-10-01T09:43:55","MOVE","H:\AxioPoC\artifacts_xfer\permSAFE_intra_AfD_TelosPARTIAL_1000.json","H:\AxioPoC\_archive\2025-10-01_09-43\permSAFE_intra_AfD_TelosPARTIAL_1000.json","15204","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_001.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_001.parquet","46528533","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_002.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_002.parquet","46444042","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_003.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_003.parquet","46446859","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_004.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_004.parquet","46560299","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_005.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_005.parquet","46514394","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_006.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_006.parquet","46508251","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_007.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_007.parquet","46359459","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_008.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_008.parquet","46056082","True"
"2025-10-01T09:43:55","MOVE","C:\AxioPoC\artifacts_xfer\afd_msg_emb_shard_009.parquet","H:\AxioPoC\_archive\2025-10-01_09-43\afd_msg_emb_shard_009.parquet","46537266","True"
